JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460916.302071,7.403,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.594|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.314|KREFMAG=10.966|VMAGINS=-15.877|VMAG=7.403,0,1.080,Z,-14.594,-12.337,,SX PHE,AAVSO,STD,,,,
2460916.302674,7.426,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.601|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.321|KREFMAG=10.966|VMAGINS=-15.861|VMAG=7.426,0,1.081,Z,-14.601,-12.330,,SX PHE,AAVSO,STD,,,,
2460916.303277,7.448,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.604|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.324|KREFMAG=10.966|VMAGINS=-15.842|VMAG=7.448,0,1.082,Z,-14.604,-12.393,,SX PHE,AAVSO,STD,,,,
2460916.303848,7.403,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.600|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.321|KREFMAG=10.966|VMAGINS=-15.883|VMAG=7.403,0,1.083,Z,-14.600,-12.376,,SX PHE,AAVSO,STD,,,,
2460916.304442,7.433,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.625|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.345|KREFMAG=10.966|VMAGINS=-15.878|VMAG=7.433,0,1.085,Z,-14.625,-12.399,,SX PHE,AAVSO,STD,,,,
2460916.305013,7.425,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.605|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.325|KREFMAG=10.966|VMAGINS=-15.866|VMAG=7.425,0,1.086,Z,-14.605,-12.345,,SX PHE,AAVSO,STD,,,,
2460916.305627,7.465,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.602|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.322|KREFMAG=10.966|VMAGINS=-15.823|VMAG=7.465,0,1.087,Z,-14.602,-12.314,,SX PHE,AAVSO,STD,,,,
2460916.306283,7.402,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.603|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.323|KREFMAG=10.966|VMAGINS=-15.887|VMAG=7.402,0,1.089,Z,-14.603,-12.336,,SX PHE,AAVSO,STD,,,,
2460916.306928,7.477,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.589|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.310|KREFMAG=10.966|VMAGINS=-15.798|VMAG=7.477,0,1.090,Z,-14.589,-12.360,,SX PHE,AAVSO,STD,,,,
2460916.307489,7.472,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.604|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.324|KREFMAG=10.966|VMAGINS=-15.817|VMAG=7.472,0,1.091,Z,-14.604,-12.361,,SX PHE,AAVSO,STD,,,,
2460916.308083,7.465,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.590|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.311|KREFMAG=10.966|VMAGINS=-15.811|VMAG=7.465,0,1.092,Z,-14.590,-12.379,,SX PHE,AAVSO,STD,,,,
2460916.308645,7.514,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.599|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.319|KREFMAG=10.966|VMAGINS=-15.771|VMAG=7.514,0,1.094,Z,-14.599,-12.355,,SX PHE,AAVSO,STD,,,,
2460916.309447,7.525,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.597|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.317|KREFMAG=10.966|VMAGINS=-15.757|VMAG=7.525,0,1.095,Z,-14.597,-12.324,,SX PHE,AAVSO,STD,,,,
2460916.310285,7.525,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.596|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.316|KREFMAG=10.966|VMAGINS=-15.756|VMAG=7.525,0,1.097,Z,-14.596,-12.330,,SX PHE,AAVSO,STD,,,,
2460916.310847,7.501,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.610|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.330|KREFMAG=10.966|VMAGINS=-15.796|VMAG=7.501,0,1.099,Z,-14.610,-12.339,,SX PHE,AAVSO,STD,,,,
