#TYPE=Extended
#OBSCODE=WJRA
#SOFTWARE=ASTAP, v2026.07.16
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#COMMENTS=CMAG ensemble using transformed Gaia magnitudes.
#
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AIRMASS,GROUP,CHART,NOTES
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82730,11.118,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.757,1.244,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82800,11.121,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.241,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82871,11.122,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.746,1.237,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82976,11.126,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.746,1.232,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83046,11.118,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.757,1.229,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83117,11.133,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.747,1.226,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83187,11.126,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.750,1.222,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83257,11.132,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.219,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83328,11.124,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.745,1.216,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83398,11.143,0.0106,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.738,1.213,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83469,11.133,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.740,1.210,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83539,11.130,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.746,1.207,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83609,11.131,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.204,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83680,11.120,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.750,1.201,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83750,11.114,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.198,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83821,11.112,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.742,1.195,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83891,11.098,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.192,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.83962,11.095,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.189,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84032,11.082,0.0103,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.744,1.187,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84102,11.077,0.0102,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.735,1.184,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84172,11.065,0.0102,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.751,1.181,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84243,11.043,0.0101,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.751,1.179,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84313,11.026,0.0100,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.746,1.176,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84383,11.014,0.0099,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.741,1.173,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84454,10.991,0.0098,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.733,1.171,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84524,10.959,0.0097,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.751,1.168,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84595,10.912,0.0095,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.166,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.84665,10.866,0.0093,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.748,1.167,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
