JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457118.38664,10.178,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.65,Z,17.396,17.223,,YZ BOO,VVS,STD,,,,
2457118.38742,10.171,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.64,Z,17.412,17.212,,YZ BOO,VVS,STD,,,,
2457118.38926,10.210,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.62,Z,18.149,17.964,,YZ BOO,VVS,STD,,,,
2457118.38969,10.197,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.62,Z,18.154,17.962,,YZ BOO,VVS,STD,,,,
2457118.39010,10.201,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.62,Z,18.149,17.948,,YZ BOO,VVS,STD,,,,
2457118.39053,10.209,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.61,Z,18.146,17.946,,YZ BOO,VVS,STD,,,,
2457118.39096,10.203,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.61,Z,18.150,17.970,,YZ BOO,VVS,STD,,,,
2457118.39139,10.215,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.61,Z,18.144,17.950,,YZ BOO,VVS,STD,,,,
2457118.39182,10.198,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.60,Z,18.153,17.960,,YZ BOO,VVS,STD,,,,
2457118.39223,10.214,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.60,Z,18.149,17.961,,YZ BOO,VVS,STD,,,,
2457118.39266,10.226,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.60,Z,18.138,17.957,,YZ BOO,VVS,STD,,,,
2457118.39309,10.236,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.59,Z,18.133,17.952,,YZ BOO,VVS,STD,,,,
2457118.39352,10.245,0.018,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.59,Z,18.121,17.934,,YZ BOO,VVS,STD,,,,
2457118.39396,10.247,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.59,Z,18.124,17.953,,YZ BOO,VVS,STD,,,,
2457118.39438,10.244,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.58,Z,18.131,17.946,,YZ BOO,VVS,STD,,,,
2457118.39480,10.235,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.58,Z,18.133,17.951,,YZ BOO,VVS,STD,,,,
2457118.39523,10.243,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.58,Z,18.142,17.950,,YZ BOO,VVS,STD,,,,
2457118.39566,10.249,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.58,Z,18.129,17.949,,YZ BOO,VVS,STD,,,,
2457118.39609,10.277,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.57,Z,18.112,17.937,,YZ BOO,VVS,STD,,,,
2457118.39650,10.265,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.57,Z,18.117,17.952,,YZ BOO,VVS,STD,,,,
2457118.39693,10.264,0.015,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.57,Z,18.119,17.937,,YZ BOO,VVS,STD,,,,
2457118.39736,10.239,0.016,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.56,Z,18.149,17.944,,YZ BOO,VVS,STD,,,,
2457118.39779,10.263,0.015,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.56,Z,18.129,17.941,,YZ BOO,VVS,STD,,,,
2457118.39822,10.252,0.016,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.56,Z,18.146,17.950,,YZ BOO,VVS,STD,,,,
2457118.39863,10.290,0.015,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.55,Z,18.110,17.944,,YZ BOO,VVS,STD,,,,
2457118.39906,10.260,0.016,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.55,Z,18.137,17.951,,YZ BOO,VVS,STD,,,,
