JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460887.310795,11.057,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.254,Z,-12.664,-13.378,,CY AQR,AAVSO,STD,,,,
2460887.311255,11.123,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.255,Z,-12.669,-13.354,,CY AQR,AAVSO,STD,,,,
2460887.311883,11.066,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.256,Z,-12.646,-13.354,,CY AQR,AAVSO,STD,,,,
2460887.313461,11.090,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.260,Z,-12.667,-13.385,,CY AQR,AAVSO,STD,,,,
2460887.313835,11.068,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.261,Z,-12.756,-13.475,,CY AQR,AAVSO,STD,,,,
2460887.314273,11.035,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.263,Z,-12.651,-13.398,,CY AQR,AAVSO,STD,,,,
2460887.314537,11.121,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.263,Z,-12.841,-13.572,,CY AQR,AAVSO,STD,,,,
2460887.314833,11.048,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.264,Z,-12.693,-13.489,,CY AQR,AAVSO,STD,,,,
2460887.315128,11.073,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.265,Z,-12.745,-13.520,,CY AQR,AAVSO,STD,,,,
2460887.315393,11.123,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.266,Z,-12.684,-13.491,,CY AQR,AAVSO,STD,,,,
2460887.315742,11.125,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.267,Z,-12.733,-13.548,,CY AQR,AAVSO,STD,,,,
2460887.316007,11.060,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.267,Z,-12.754,-13.559,,CY AQR,AAVSO,STD,,,,
2460887.316838,11.054,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.270,Z,-12.711,-13.518,,CY AQR,AAVSO,STD,,,,
2460887.317735,11.216,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.272,Z,-12.780,-13.578,,CY AQR,AAVSO,STD,,,,
2460887.318332,11.129,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.274,Z,-12.760,-13.447,,CY AQR,AAVSO,STD,,,,
2460887.318857,11.105,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.275,Z,-12.778,-13.545,,CY AQR,AAVSO,STD,,,,
2460887.319275,11.136,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.277,Z,-12.822,-13.551,,CY AQR,AAVSO,STD,,,,
2460887.319826,11.061,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.278,Z,-12.776,-13.558,,CY AQR,AAVSO,STD,,,,
2460887.320373,11.180,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.280,Z,-12.843,-13.520,,CY AQR,AAVSO,STD,,,,
2460887.320790,11.095,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.281,Z,-12.725,-13.495,,CY AQR,AAVSO,STD,,,,
2460887.321141,11.087,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.282,Z,-12.661,-13.464,,CY AQR,AAVSO,STD,,,,
2460887.321405,11.066,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.283,Z,-12.665,-13.471,,CY AQR,AAVSO,STD,,,,
2460887.321755,11.213,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.284,Z,-12.815,-13.512,,CY AQR,AAVSO,STD,,,,
2460887.322174,11.120,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.286,Z,-12.739,-13.530,,CY AQR,AAVSO,STD,,,,
2460887.322592,11.142,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.287,Z,-12.801,-13.536,,CY AQR,AAVSO,STD,,,,
2460887.322856,11.083,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.288,Z,-12.790,-13.556,,CY AQR,AAVSO,STD,,,,
2460887.323185,11.095,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.289,Z,-12.739,-13.493,,CY AQR,AAVSO,STD,,,,
2460887.323516,11.220,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.290,Z,-12.860,-13.578,,CY AQR,AAVSO,STD,,,,
2460887.324461,11.149,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.293,Z,-12.790,-13.598,,CY AQR,AAVSO,STD,,,,
2460887.324788,11.209,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.294,Z,-12.795,-13.554,,CY AQR,AAVSO,STD,,,,
2460887.325052,11.092,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.295,Z,-12.720,-13.533,,CY AQR,AAVSO,STD,,,,
2460887.325359,11.121,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.296,Z,-12.757,-13.587,,CY AQR,AAVSO,STD,,,,
2460887.326839,11.068,0.016,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.301,Z,-12.649,-13.382,,CY AQR,AAVSO,STD,,,,
2460887.327297,11.110,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.303,Z,-12.682,-13.413,,CY AQR,AAVSO,STD,,,,
2460887.328064,10.983,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.305,Z,-12.732,-13.497,,CY AQR,AAVSO,STD,,,,
2460887.328394,11.063,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.307,Z,-12.706,-13.511,,CY AQR,AAVSO,STD,,,,
2460887.328810,11.097,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.308,Z,-12.638,-13.468,,CY AQR,AAVSO,STD,,,,
2460887.329438,11.117,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.310,Z,-12.808,-13.515,,CY AQR,AAVSO,STD,,,,
2460887.329736,11.124,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.311,Z,-12.712,-13.546,,CY AQR,AAVSO,STD,,,,
